a_name,b_name,count,,,,,,,,,,,,,,,,,,,,
LEGISLATION,MEDIA_MSM,11646393,,,,,,,,,,,,,,,,,,,,
EPU_POLICY_GOVERNMENT,LEGISLATION,9274347,,,,,,,,,,,,,,,,,,,,
LEADER,LEGISLATION,10998139,,,,,,,,,,,,,,,,,,,,
EPU_CATS_MIGRATION_FEAR_FEAR,LEGISLATION,5392894,,,,,,,,,,,,,,,,,,,,
GENERAL_GOVERNMENT,LEGISLATION,13559555,,,,,,,,,,,,,,,,,,,,
LEGISLATION,WB_2433_CONFLICT_AND_VIOLENCE,9550278,,,,,,,,,,,,,,,,,,,,
LEGISLATION,WB_678_DIGITAL_GOVERNMENT,7963425,,,,,,,,,,,,,,,,,,,,
LEGISLATION,WB_1014_CRIMINAL_JUSTICE,8659442,,,,,,,,,,,,,,,,,,,,
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_831_GOVERNANCE,8847499,,,,,,,,,,,,,,,,,,,,
LEGISLATION,TAX_FNCACT_HACKERS,141044,,,,,,,,,,,,,,,,,,,,
LEGISLATION,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,7963416,,,,,,,,,,,,,,,,,,,,
LEGISLATION,WB_696_PUBLIC_SECTOR_MANAGEMENT,16814799,,,,,,,,,,,,,,,,,,,,
LEGISLATION,USPEC_POLICY1,15455017,,,,,,,,,,,,,,,,,,,,
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_832_ANTI_CORRUPTION,8037956,,,,,,,,,,,,,,,,,,,,
LEGISLATION,WB_694_BROADCAST_AND_MEDIA,8048883,,,,,,,,,,,,,,,,,,,,
EPU_POLICY_LAW,KILL,7003194,,,,,,,,,,,,,,,,,,,,
LEGISLATION,MANMADE_DISASTER_IMPLIED,10868087,,,,,,,,,,,,,,,,,,,,
EDUCATION,LEGISLATION,7476801,,,,,,,,,,,,,,,,,,,,
CRISISLEX_C07_SAFETY,WB_840_JUSTICE,11252132,,,,,,,,,,,,,,,,,,,,
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_840_JUSTICE,8803598,,,,,,,,,,,,,,,,,,,,
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_840_JUSTICE,9141039,,,,,,,,,,,,,,,,,,,,
CRISISLEX_CRISISLEXREC,WB_840_JUSTICE,11853646,,,,,,,,,,,,,,,,,,,,
SECURITY_SERVICES,WB_840_JUSTICE,14280513,,,,,,,,,,,,,,,,,,,,
